electricity,gas,water
1023,60,154
727,58,239
758,60,298
807,64,283
649,124,198
323,100,299
522,93,284
580,72,182
1093,81,152
888,138,255
1148,95,227
1104,68,221
1196,90,217
772,119,203
1022,94,176
938,77,298
504,90,223
487,132,277
1072,73,267
1051,56,193
825,129,159
312,77,239
507,126,151
886,102,286
651,115,190
955,148,204
530,106,290
687,112,251
330,96,275
574,54,271
306,63,203
621,122,210
596,128,227
1122,101,163
335,66,254
548,148,237
1070,54,266
767,126,253
888,71,236
664,118,297
575,64,240
833,109,164
1019,145,159
621,136,151
696,113,297
504,95,157
877,94,256
1158,59,177
1079,77,240
718,144,201
300,139,219
979,147,173
591,139,275
1150,73,182
971,101,207
363,101,245
963,129,299
697,113,191
1073,67,184
558,134,169
509,136,253
466,55,205
350,110,264
712,135,263
894,93,172
974,142,285
715,90,296
1031,98,237
363,76,290
1065,67,224
839,114,250
1013,68,215
714,60,231
347,122,299
1136,94,151
544,96,150
996,77,280
573,79,291
735,98,279
332,75,270
670,132,297
572,74,234
518,102,204
568,61,258
551,87,151
452,54,288
961,97,177
776,104,157
966,84,183
863,53,268
931,87,218
436,88,219
612,92,244
1192,85,216
638,121,210
933,126,183
1181,119,233
730,62,275
1012,65,220
1034,129,285
556,88,202
699,125,223
1099,147,154
1152,56,182
883,133,278
952,93,281
336,115,275
529,96,263
755,125,300
1064,138,242
794,146,157
1047,143,154
594,53,157
1021,111,273
942,80,277
651,119,291
993,136,193
504,142,269
988,52,189
710,111,224
575,146,208
504,142,213
806,144,284
1121,51,300
619,55,184
575,134,280
575,135,283
489,55,265
775,116,171
1002,124,227
1030,77,222
742,80,269
1187,107,166
769,68,251
797,119,156
917,149,264
325,149,225
384,88,227
370,84,275
1128,62,215
353,144,156
555,91,287
532,75,284
1028,65,222
859,141,171
833,126,275
347,72,212
578,115,185
1016,71,267
612,118,193
524,90,273
931,139,201
339,145,234
624,90,289
948,115,275
470,148,199
1137,64,267
946,73,268
1200,77,275
684,103,263
308,149,263
754,99,242
404,110,218
341,107,227
1177,93,156
708,125,232
815,120,259
365,140,221
625,112,220
356,54,204
867,109,172
561,55,247
919,109,168
1058,140,241
940,79,222
757,105,224
377,59,264
847,57,245
419,68,221
1000,84,171
497,50,212
490,139,167
635,84,286
527,50,300
432,139,213
666,140,294
719,133,251
513,55,298
350,50,273
445,149,223
659,140,218
843,67,177
460,93,272
589,72,262
449,55,168
656,62,204
1024,50,182
451,67,297
625,59,236
757,136,220
771,65,160
1109,142,215
608,96,157
313,61,249
690,126,174
545,96,161
1156,123,232
1173,68,266
1126,144,255
896,59,150
550,55,161
1041,86,216
1180,61,231
589,78,214
1087,146,258
468,101,152
986,84,228
893,101,254
937,121,175
500,63,190
302,116,189
320,94,161
336,124,221
801,62,266
592,138,179
916,141,287
986,79,156
375,78,285
755,79,208
938,124,257
341,125,287
1118,133,183
929,150,202
844,124,241
442,54,287
324,54,244
1159,58,197
514,87,176
810,100,179
722,106,238
375,56,300
1016,149,201
733,110,299
489,104,190
783,120,196
368,53,177
408,87,291
378,131,261
1105,60,277
395,56,277
590,84,150
1198,91,247
972,108,272
786,86,262
406,108,167
494,60,252
563,51,287
891,78,259
953,103,198
626,59,198
418,145,184
761,54,203
595,61,193
474,139,273
487,119,215
938,96,290
800,139,153
1138,64,270
976,132,173
645,112,193
912,58,231
781,124,203
426,129,201
479,71,202
887,86,169
1186,121,207
606,134,270
1118,71,278
657,147,207
839,51,198
404,124,171
386,130,232
521,129,162
1078,70,151
852,89,244
599,60,185
430,85,174
521,71,230
1120,68,230
974,130,183
952,112,287
956,102,150
804,50,216
389,123,162
1148,149,168
767,69,187
624,82,208
364,117,225
1050,79,191
1111,131,237
518,80,245
368,65,170
609,92,157
1029,138,247
1139,110,191
1162,72,189
1059,54,218
993,120,171
1136,137,281
740,105,209
505,63,174
615,59,217
892,75,156
1194,149,177
1029,92,226
604,61,175
653,136,204
783,57,206
388,107,208
977,54,188
675,107,235
572,63,164
1189,56,193
949,129,151
478,117,222
990,110,156
988,122,242
684,85,189
470,88,191
731,129,156
803,71,191
491,88,279
787,123,241
436,89,168
462,137,231
354,52,242
563,53,286
1089,74,189
530,146,176
998,87,227
898,148,201
465,72,250
558,72,222
892,71,212
673,92,260
465,119,247
902,52,228
480,92,177
355,101,198
1168,112,225
346,134,196
913,54,225
956,148,251
940,77,211
551,142,193
1200,50,227
1181,86,210
682,98,250
361,91,275
588,97,255
594,148,159
947,78,185
851,80,271
845,131,299
956,53,216
832,80,183
1099,137,162
306,63,267
682,137,217
744,105,212
813,101,248
1086,145,205
854,101,240
967,65,212
923,70,282
874,67,172
352,50,185
1045,112,276
728,136,176
1183,84,300
1016,68,243
775,102,155
1013,146,236
306,113,159
433,62,208
655,132,197
834,63,158
600,124,210
657,101,280
902,60,284
1101,113,292
696,92,150
499,123,194
899,137,287
686,60,163
1194,139,168
501,124,160
569,70,167
1157,146,197
454,72,182
370,112,196
918,88,217
797,133,244
931,95,163
746,78,168
834,108,188
1133,107,250
517,139,220
366,83,278
1189,148,186
1069,148,240
511,85,156
1050,105,234
983,101,249
1150,97,196
406,129,286
499,52,191
972,76,266
1094,119,159
505,136,284
1200,126,175
594,53,204
984,66,276
977,90,258
502,109,230
1050,133,192
730,83,284
778,102,162
844,82,202
573,109,181
1196,99,257
534,57,189
638,148,244
594,81,237
1045,74,227
1048,96,256
500,69,178
1157,65,213
1154,50,208
891,74,180
1057,67,214
830,117,202
1197,117,171
463,95,238
783,142,289
1068,137,261
867,82,270
683,133,188
1157,76,180
548,87,194
1073,94,239
704,72,189
781,127,221
953,66,291
1131,128,164
836,72,259
738,90,291
604,146,221
366,145,274
547,100,264
1119,93,216
827,141,210
824,119,212
303,58,209
503,74,284
488,56,201
422,125,271
552,117,212
525,86,261
368,126,226
1191,129,178
585,122,266
492,57,273
711,148,183
1042,66,274
365,71,296
725,126,179
769,91,165
653,68,227
1105,149,219
393,92,187
1129,133,177
429,89,297
331,62,159
1075,87,297
1048,120,256
448,92,167
511,65,179
963,101,212
421,136,260
595,68,262
1022,149,248
636,104,265
520,62,155
939,116,219
1140,85,276
577,89,187
1029,124,195
518,100,228
1026,147,200
348,142,229
717,146,277
986,97,287
822,56,210
561,125,257
719,99,179
761,94,158
474,101,298
949,129,254
972,125,154
622,119,153
577,54,167
756,150,177
470,70,291
672,115,153
635,89,291
435,112,255
481,79,259
636,74,293
639,89,235
535,70,217
362,52,229
1058,123,182
924,106,221
818,107,226
752,148,218
425,131,281
981,136,214
467,61,278
652,62,281
350,58,284
860,109,244
389,79,155
806,53,162
1195,149,240
454,86,157
411,121,205
532,146,178
1050,106,189
343,119,270
1194,55,159
972,111,212
706,106,180
965,79,164
328,130,215
993,93,271
558,104,156
1062,103,210
393,136,202
496,69,273
671,66,199
784,104,227
922,134,278
508,51,193
485,123,230
598,77,191
554,126,284
1127,137,183
1195,74,281
486,126,233
1105,103,233
752,141,183
983,81,284
328,56,197
1155,108,203
858,100,200
722,120,212
577,96,242
948,74,231
974,104,185
855,74,242
706,114,282
1150,144,251
595,85,155
608,102,265
926,83,194
982,69,277
325,115,163
614,65,252
1141,90,187
425,52,215
780,76,175
681,70,193
671,95,186
373,72,183
590,60,198
1144,53,198
566,75,273
331,92,274
571,103,167
333,74,194
1194,109,186
711,121,299
1090,103,214
310,132,228
1042,108,153
595,101,173
529,114,196
1036,76,183
1008,100,155
459,98,286
570,81,265
1172,55,278
1013,118,291
1150,109,276
884,77,155
654,122,228
745,91,152
1137,54,204
954,58,165
1192,88,233
784,113,271
1178,69,172
1065,88,193
551,95,190
403,69,213
747,97,190
942,95,179
401,138,189
492,100,280
1063,103,259
552,69,150
699,75,282
725,135,157
1035,54,266
431,104,159
1189,98,297
1003,147,252
979,70,184
503,77,294
747,123,243
690,66,223
982,83,231
545,100,218
540,100,283
354,98,250
718,87,295
560,148,247
441,56,231
447,89,171
904,116,200
805,98,232
522,67,175
370,137,255
1022,119,198
700,133,270
576,89,200
983,113,220
884,113,278
1175,77,292
506,99,277
350,150,194
397,57,276
426,89,244
736,73,218
570,102,243
583,81,159
1140,84,283
399,105,178
1065,74,246
750,80,238
659,108,155
675,140,206
931,79,246
1096,65,247
716,106,152
639,138,183
1012,90,236
484,90,284
428,103,300
701,134,209
710,98,268
1005,52,193
753,127,261
773,79,236
355,112,212
1119,145,206
389,112,199
539,92,178
1122,98,155
1121,127,234
664,77,279
470,94,223
413,71,254
731,148,255
1099,53,214
820,140,180
567,116,212
689,113,243
791,136,232
714,150,218
1018,143,250
432,133,212
371,145,267
1017,51,243
637,121,273
606,112,220
428,80,238
593,101,225
802,127,155
617,57,237
574,104,173
552,70,253
1090,110,161
491,108,299
476,150,167
770,148,204
310,150,205
772,107,180
1072,136,235
475,116,259
787,93,156
1055,92,150
315,50,162
307,97,168
1138,115,162
925,90,151
1194,129,167
662,80,216
416,141,185
1022,92,218
953,127,158
716,110,295
720,117,210
319,99,241
594,52,298
475,129,166
806,52,248
746,78,222
711,137,295
1014,60,284
1065,123,155
967,76,232
784,106,186
1059,54,161
1029,97,209
511,139,249
558,82,294
744,95,244
440,80,212
888,71,265
688,125,150
522,133,276
693,149,283
608,101,282
1141,70,203
721,77,259
535,74,162
531,103,152
360,93,293
464,124,187
920,61,295
840,135,288
465,107,215
1023,89,160
857,143,221
966,78,279
1131,100,244
541,146,256
388,52,194
666,90,184
307,116,275
1130,72,269
457,100,163
1160,149,215
746,106,219
1116,64,259
690,148,297
1087,128,296
784,64,298
769,141,183
775,117,263
790,114,201
909,122,234
602,89,271
631,62,170
970,109,220
1030,110,168
504,74,176
318,135,246
1153,142,272
899,143,152
384,64,167
1160,92,231
669,145,256
692,73,178
300,97,284
1042,148,295
810,144,218
300,94,223
1197,140,197
427,108,201
839,91,287
1162,141,285
639,136,231
656,51,246
411,139,259
1133,117,275
759,88,267
652,58,286
1121,145,246
889,99,202
981,108,203
923,122,164
811,67,275
1069,58,251
388,110,265
1180,117,206
952,70,219
517,97,191
839,96,183
1067,147,256
888,133,220
580,71,157
994,60,198
451,113,289
993,63,200
480,55,173
620,120,153
1054,58,203
850,73,197
720,56,261
670,124,225
1197,61,159
615,133,232
403,141,258
623,68,205
1094,113,171
603,113,160
835,67,293
547,123,231
1113,59,285
663,84,153
741,71,197
522,144,194
423,140,173
1070,123,272
685,63,207
352,136,260
996,117,259
1114,53,233
854,134,284
352,65,175
1148,57,281
424,138,202
459,139,289
388,137,283
610,135,262
1060,124,300
459,104,178
784,134,154
651,103,294
1126,58,266
830,99,242
785,52,264
1057,57,201
455,93,222
1148,88,153
685,123,242
979,74,228
988,59,226
384,112,240
477,64,197
771,64,177
655,68,234
971,68,253
1187,139,225
301,88,224
520,134,181
458,120,164
652,68,291
548,121,157
901,102,196
913,110,270
583,98,207
432,73,223
937,50,165
413,131,263
923,125,263
1127,93,159
1147,117,291
403,144,295
747,66,279
362,103,264
1067,112,265
1093,51,181
1042,70,172
393,125,238
821,119,244
729,98,230
813,84,259
1036,60,160
1036,123,254
567,150,207
325,123,166
478,109,266
474,78,294
1155,121,168
397,92,223
487,147,298
1188,111,216
896,141,275
592,134,284
502,96,272
1103,89,232
989,70,249
336,149,271
672,119,297
951,109,181
502,87,231
472,83,277
630,140,252
982,140,191
334,111,180
677,149,202
380,111,285
538,74,275
812,72,251
478,79,260
331,96,297
640,147,229
917,70,199
917,128,284
585,146,187
378,85,163
655,89,241
698,129,273
1094,134,219
1019,117,183
432,136,259
436,69,289
901,140,252
898,78,225
349,120,174
681,132,160
603,119,203
591,89,254
436,76,191
643,83,157
518,82,289
583,65,270
556,111,247
943,97,162
749,101,185
393,107,161
942,72,196
518,93,186
965,63,257
424,74,265
691,150,246
702,95,169
1163,115,190
889,93,231
758,142,183
908,58,295
960,73,285
341,142,163
1100,90,189
362,95,192
359,113,205
1091,110,268
948,54,279
586,120,251
321,50,280
662,101,276
308,135,245
866,137,174
368,55,232
616,142,163
1195,119,240
433,93,190
1123,132,242
1103,125,200
923,83,157
750,51,266
1180,131,258
541,107,291
991,138,190
507,56,219
693,109,172
1114,52,168
631,73,253
567,150,197
308,96,266
517,144,259
421,69,195
764,132,295
920,141,268
456,107,216
647,111,261
968,79,207
363,73,280
625,100,189
619,97,291
913,106,300
702,112,250
690,64,246
458,59,232
523,91,188
819,97,186
974,142,285
784,112,214
1016,87,194
1194,84,260
509,83,203
355,66,151
671,144,205
366,72,220
743,96,222
863,83,179
663,125,207
401,123,296
1126,94,192
1196,126,243
442,57,184
1193,124,203
852,134,290
410,88,152
697,109,247
972,146,242
324,130,219
946,149,280
676,69,247
363,146,161
1016,76,198
948,140,151
1146,129,204
457,91,275
334,75,258
1092,146,154
883,111,296
1140,87,250
826,57,294
497,58,151
319,105,204
1187,62,277
837,55,150
766,140,272
471,110,222
767,150,294
700,129,261
518,133,283
349,79,206
700,55,243
804,150,263
420,106,175
740,77,228
1010,129,288
721,74,171
574,70,268
470,90,173
932,128,160
1187,85,183
617,62,209
789,122,186
1142,96,261
899,120,231
1142,122,199
441,88,299
572,125,253
612,86,275
610,123,244
1096,110,253
1067,146,184
714,95,229
1165,120,242
633,100,222
881,63,270
894,87,274
933,86,234
913,143,285
647,50,282
705,98,185
1159,68,188
676,114,178
756,77,153
402,127,181
866,56,253
484,99,199
959,86,255
347,69,175
739,83,220
793,114,216
826,124,168
354,109,160
328,70,214
1175,132,239
759,85,287
503,51,283
1157,94,278
924,63,238
583,88,259
1007,108,190
989,112,237
322,136,205
1003,105,256
535,100,289
586,111,152
957,122,265
410,110,220
1006,119,274
306,80,244
530,68,284
1157,101,268
604,145,267
960,75,190
990,113,279
846,85,186
442,63,247
1010,127,253
760,73,177
322,104,252
901,97,188
492,142,238
1157,126,298
553,121,289
340,126,261
860,131,260
829,118,150
444,128,233
1081,63,150
779,59,224
347,132,186
541,77,194
889,57,265
731,69,292
1082,140,240
914,119,269
476,70,184
340,85,245
1146,105,229
1152,137,192
438,58,179
349,68,242
412,64,219
480,136,268
697,122,198
542,137,223
770,84,213
426,81,264
1128,91,246
879,120,268
915,67,174
724,102,233
856,109,241
987,134,181
576,129,155
347,82,234
570,115,291
633,104,285
945,103,266
317,144,268
986,136,160
732,74,155
415,79,267
1155,148,276
635,56,191
586,124,155
604,110,284
741,56,198
958,67,265
1006,112,229
504,107,210
895,58,259
1173,129,213
847,125,244
704,132,204
1147,52,205
706,119,224
1108,79,290
446,88,153
1086,149,210
1109,84,201
655,109,230
858,75,248
1015,76,190
371,97,262
1002,107,186
846,141,196
330,141,211
931,97,212
1160,54,294
851,68,291
999,57,168
362,123,166
1044,84,173
1004,118,231
344,100,202
939,132,235
317,85,195
1148,149,161
1171,134,281
463,81,265
1103,55,291
339,70,200
1113,131,272
892,116,290
534,141,245
716,64,228
1119,125,252
952,91,225
772,84,284
359,60,197
1069,66,272
1034,108,275
935,79,162
552,143,153
492,149,261
772,120,192
704,64,197
995,109,257
415,70,241
436,62,250
988,116,287
411,123,279
912,150,287
775,96,176
329,91,292
795,104,233
672,139,193
662,88,281
321,80,187
1128,142,236
1169,112,159
1196,78,162
838,67,255
487,118,230
348,72,166
1056,52,158
1062,147,159
477,140,294
318,135,292
372,87,248
372,74,193
786,76,204
416,76,291
315,124,254
686,68,164
319,131,188
804,143,153
553,137,272
981,90,175
1118,96,157
573,118,267
502,129,179
1029,59,207
936,147,163
374,77,212
547,120,255
1181,140,262
1167,135,243
693,131,277
833,130,151
733,90,267
621,102,186
1165,78,204
877,149,194
558,51,172
420,74,251
484,132,226
1158,55,214
596,82,197
382,128,163
1091,77,241
896,109,159
804,52,214
597,91,195
414,127,265
1012,140,224
412,93,239
992,64,270
885,57,199
1029,96,169
658,74,268
1014,128,225
912,138,273
620,130,274
977,128,280
550,145,186
1084,119,192
876,104,250
764,95,287
468,128,252
1008,64,246
575,110,185
1197,81,266
1115,83,291
437,81,160
1047,97,188
863,104,297
506,96,273
1058,89,177
1177,97,228
821,110,270
786,109,260
1112,134,154
402,111,188
846,111,189
410,94,213
890,94,230
744,62,166
637,136,260
1043,96,215
795,84,239
753,110,152
885,135,217
536,132,154
726,116,192
809,63,217
1142,97,251
329,83,199
746,86,273
936,93,227
761,90,296
502,115,208
367,134,158
1136,113,256
652,88,262
403,116,185
1171,123,202
689,69,260
1193,134,203
1197,97,284
742,68,167
697,61,277
427,100,259
992,127,231
1170,68,209
632,128,201
568,57,264
1037,100,290
841,99,162
804,94,285
1099,58,206
439,147,244
672,72,295
397,59,185
873,93,235
799,98,291
984,90,239
416,65,192
380,81,189
874,52,265
800,102,238
592,126,269
939,100,205
1090,114,219
449,106,241
1157,57,298
533,88,180
405,140,283
744,93,223
1040,99,212
853,126,150
932,85,163
312,97,211
581,51,158
1142,50,279
1114,124,201
1113,72,228
512,148,206
412,53,222
990,84,253
897,111,294
1039,76,284
1090,121,241
489,112,235
1016,61,153
668,50,275
379,130,185
1019,55,252
845,137,200
837,65,154
327,101,177
1128,117,234
563,130,192
815,52,299
1105,113,201
753,106,218
1004,108,288
520,98,298
976,89,260
921,114,215
1078,50,186
1030,50,235
308,101,187
378,143,178
329,128,172
894,124,167
304,74,272
551,101,261
1178,68,262
1072,66,254
840,65,193
968,69,201
560,121,290
583,96,253
410,92,261
383,135,197
573,140,254
845,144,206
336,146,291
1139,124,229
1109,76,162
1032,93,190
651,60,237
1008,73,186
1115,140,235
381,134,180
618,52,202
930,51,165
330,50,287
1186,115,151
1135,92,298
826,113,160
731,53,241
736,130,283
734,122,208
574,116,253
722,81,264
1002,61,257
623,84,282
860,148,162
598,65,196
885,96,198
706,91,265
412,86,205
367,104,288
1096,117,234
472,90,193
414,60,166
1139,140,257
831,70,191
548,141,215
746,94,283
644,65,269
454,131,188
956,88,261
855,128,291
691,74,287
919,118,289
954,125,208
1139,56,262
703,119,262
461,54,232
985,90,232
733,149,191
456,65,260
1144,113,255
854,143,239
342,109,218
1194,66,215
449,73,287
359,126,227
1121,92,197
358,101,298
945,108,283
626,52,273
533,114,285
319,73,157
541,61,286
1125,90,181
357,146,191
975,65,238
572,105,227
404,110,291
1169,135,223
540,133,168
486,81,278
809,121,174
584,128,228
522,66,178
430,93,233
812,98,228
396,98,200
647,77,287
646,65,297
792,72,228
1010,77,225
454,113,242
307,111,226
574,138,225
451,118,177
1068,119,198
602,147,180
888,147,226
581,64,177
1028,122,200
1176,60,215
387,150,176
422,86,171
1174,93,266
1124,102,223
534,71,172
458,82,290
1041,134,277
678,98,294
1011,61,229
891,139,280
462,52,220
1038,57,214
533,88,194
762,100,196
370,125,275
400,114,214
492,110,207
757,69,236
961,71,178
1138,150,215
713,93,193
1122,86,275
728,132,184
1028,78,195
738,57,176
436,111,183
358,137,236
1103,59,206
833,99,218
394,136,188
1019,109,207
501,142,184
913,70,232
455,131,286
640,150,233
965,50,186
729,81,194
640,64,151
960,51,249
505,145,291
637,147,226
896,122,281
989,131,210
750,64,195
600,73,297
409,142,257
709,147,236
917,107,223
491,81,195
1188,96,164
395,133,209
896,109,297
377,86,199
534,130,195
1032,72,221
518,89,182
1200,85,220
1119,112,254
334,112,288
1098,138,235
375,94,176
307,121,230
695,102,213
880,146,166
1099,145,241
1096,147,155
592,143,296
1165,139,179
1096,65,210
784,60,178
1058,68,236
412,91,233
732,136,300
886,51,197
979,119,235
729,106,175
641,60,176
864,128,166
655,61,236
951,137,182
917,141,156
1045,127,282
633,54,256
410,116,195
489,122,176
519,79,292
494,56,233
521,68,158
359,123,240
1185,100,217
